# URL Redirect Map: AtomicWiki → Blog
# old-url	new-url

# === Articles ===
/exist/apps/wiki/blogs/eXist/preconference2015	/exist/apps/blog/2015/preconference2015
/exist/apps/wiki/blogs/eXist/TrainingFeb2015	/exist/apps/blog/2015/trainingfeb2015
/exist/apps/wiki/blogs/eXist/XQuery31	/exist/apps/blog/2015/XQuery31
/exist/apps/wiki/blogs/eXist/travisci	/exist/apps/blog/2016/travisci
/exist/apps/wiki/blogs/eXist/ViennaMeetup	/exist/apps/blog/2016/viennameetup
/exist/apps/wiki/blogs/eXist/xmlprague	/exist/apps/blog/2016/xmlprague
/exist/apps/wiki/blogs/eXist/atom-existdb	/exist/apps/blog/2017/atom-existdb
/exist/apps/wiki/blogs/eXist/eXist-db-v3	/exist/apps/blog/2017/exist-db-v3
/exist/apps/wiki/blogs/eXist/eXist310	/exist/apps/blog/2017/exist310
/exist/apps/wiki/blogs/eXist/eXistdb311	/exist/apps/blog/2017/existdb311
/exist/apps/wiki/blogs/eXist/eXistdb320	/exist/apps/blog/2017/existdb320
/exist/apps/wiki/blogs/eXist/eXistdb330	/exist/apps/blog/2017/existdb330
/exist/apps/wiki/blogs/eXist/eXistdb340	/exist/apps/blog/2017/existdb340
/exist/apps/wiki/blogs/eXist/eXistdb341	/exist/apps/blog/2017/existdb341
/exist/apps/wiki/blogs/eXist/eXistdb350	/exist/apps/blog/2017/existdb350
/exist/apps/wiki/blogs/eXist/eXistdb360	/exist/apps/blog/2017/existdb360
/exist/apps/wiki/blogs/eXist/puppet-existdb	/exist/apps/blog/2017/puppet-existdb
/exist/apps/wiki/blogs/eXist/teipublisher	/exist/apps/blog/2017/teipublisher
/exist/apps/wiki/blogs/eXist/teipublisher220	/exist/apps/blog/2017/teipublisher220
/exist/apps/wiki/blogs/eXist/eXistdb361	/exist/apps/blog/2018/existdb361
/exist/apps/wiki/blogs/eXist/eXistdb400	/exist/apps/blog/2018/existdb400
/exist/apps/wiki/blogs/eXist/eXistdb410	/exist/apps/blog/2018/existdb410
/exist/apps/wiki/blogs/eXist/eXistdb420	/exist/apps/blog/2018/existdb420
/exist/apps/wiki/blogs/eXist/eXistdb421	/exist/apps/blog/2018/existdb421
/exist/apps/wiki/blogs/eXist/eXistdb430	/exist/apps/blog/2018/existdb430
/exist/apps/wiki/blogs/eXist/eXistdb431	/exist/apps/blog/2018/existdb431
/exist/apps/wiki/blogs/eXist/eXistdb440	/exist/apps/blog/2018/existdb440
/exist/apps/wiki/blogs/eXist/eXistdb450	/exist/apps/blog/2018/existdb450
/exist/apps/wiki/blogs/eXist/eXistdb500RC1	/exist/apps/blog/2018/existdb500rc1
/exist/apps/wiki/blogs/eXist/eXistdb500RC2	/exist/apps/blog/2018/existdb500rc2
/exist/apps/wiki/blogs/eXist/eXistdb500RC3	/exist/apps/blog/2018/existdb500rc3
/exist/apps/wiki/blogs/eXist/eXistdb500RC4	/exist/apps/blog/2018/existdb500rc4
/exist/apps/wiki/blogs/eXist/eXistdb500RC5	/exist/apps/blog/2018/existdb500rc5
/exist/apps/wiki/blogs/eXist/webcomponents1	/exist/apps/blog/2018/webcomponents1
/exist/apps/wiki/blogs/eXist/eXistdb460	/exist/apps/blog/2019/existdb460
/exist/apps/wiki/blogs/eXist/eXistdb461	/exist/apps/blog/2019/existdb461
/exist/apps/wiki/blogs/eXist/eXistdb470	/exist/apps/blog/2019/existdb470
/exist/apps/wiki/blogs/eXist/eXistdb471	/exist/apps/blog/2019/existdb471
/exist/apps/wiki/blogs/eXist/eXistdb500	/exist/apps/blog/2019/existdb500
/exist/apps/wiki/blogs/eXist/eXistdb500RC6	/exist/apps/blog/2019/existdb500rc6
/exist/apps/wiki/blogs/eXist/eXistdb500RC7	/exist/apps/blog/2019/existdb500rc7
/exist/apps/wiki/blogs/eXist/eXistdb510	/exist/apps/blog/2019/existdb510
/exist/apps/wiki/blogs/eXist/eXistdb511	/exist/apps/blog/2019/existdb511
/exist/apps/wiki/blogs/eXist/eXistdb520	/exist/apps/blog/2020/existdb520
/exist/apps/wiki/blogs/eXist/eXistdb480	/exist/apps/blog/2021/existdb480
/exist/apps/wiki/blogs/eXist/eXistdb530	/exist/apps/blog/2021/existdb530
/exist/apps/wiki/blogs/eXist/eXistdb531	/exist/apps/blog/2021/existdb531
/exist/apps/wiki/blogs/eXist/eXistdb4100	/exist/apps/blog/2022/existdb4100
/exist/apps/wiki/blogs/eXist/eXistdb490	/exist/apps/blog/2022/existdb490
/exist/apps/wiki/blogs/eXist/eXistdb540	/exist/apps/blog/2022/existdb540
/exist/apps/wiki/blogs/eXist/eXistdb541	/exist/apps/blog/2022/existdb541
/exist/apps/wiki/blogs/eXist/eXistdb600	/exist/apps/blog/2022/existdb600
/exist/apps/wiki/blogs/eXist/eXistdb601	/exist/apps/blog/2022/existdb601
/exist/apps/wiki/blogs/eXist/eXistdb4110	/exist/apps/blog/2023/existdb4110
/exist/apps/wiki/blogs/eXist/eXistdb4111	/exist/apps/blog/2023/existdb4111
/exist/apps/wiki/blogs/eXist/eXistdb550	/exist/apps/blog/2023/existdb550
/exist/apps/wiki/blogs/eXist/eXistdb551	/exist/apps/blog/2023/existdb551
/exist/apps/wiki/blogs/eXist/eXistdb610	/exist/apps/blog/2023/existdb610
/exist/apps/wiki/blogs/eXist/eXistdb620	/exist/apps/blog/2023/existdb620
/exist/apps/wiki/blogs/eXist/eXistdb640	/exist/apps/blog/2025/existdb640
/exist/apps/wiki/blogs/eXist/license-statement-2025-05	/exist/apps/blog/2025/license-statement-2025-05
/exist/apps/wiki/blogs/eXist/eXistdb641	/exist/apps/blog/2026/existdb641

# === Images ===
/exist/apps/wiki/data/blogs/dizzzz/categorydata.png	/exist/apps/blog/resources/images/categorydata.png
/exist/apps/wiki/data/blogs/dizzzz/client-connected.png	/exist/apps/blog/resources/images/client-connected.png
/exist/apps/wiki/data/blogs/dizzzz/client.png	/exist/apps/blog/resources/images/client.png
